x,y,WIND_SPEED,LOCAL_HOUR,RELATIVE_HUMIDITY_FLAG,UTC_DATE,HUMIDEX,PROVINCE_CODE,RELATIVE_HUMIDITY,UTC_DAY,DEW_POINT_TEMP_FLAG,WINDCHILL,WINDCHILL_FLAG,WIND_DIRECTION_FLAG,ID,STATION_PRESSURE_FLAG,UTC_MONTH,WEATHER_ENG_DESC,STATION_PRESSURE,STATION_NAME,TEMP,LOCAL_YEAR,PRECIP_AMOUNT,HUMIDEX_FLAG,UTC_YEAR,VISIBILITY,DEW_POINT_TEMP,WIND_SPEED_FLAG,TEMP_FLAG,VISIBILITY_FLAG,LOCAL_DAY,WEATHER_FRE_DESC,CLIMATE_IDENTIFIER,LOCAL_MONTH,LOCAL_DATE,WIND_DIRECTION,PRECIP_AMOUNT_FLAG
-113.57944444444445,53.31,26,18,,2017-04-14T01:00:00,,AB,93,14,,,,,3012216.2017.4.13.18,,4,"Rain,Snow,Fog",92.52,EDMONTON INTL A,1.6,2017,,,2017,6.4,0.6,,,,13,"Pluie,Neige,Brouillard",3012216,4,2017-04-13 18:00:00,8,
-113.57944444444445,53.31,16,19,,2017-04-14T02:00:00,,AB,92,14,,,,,3012216.2017.4.13.19,,4,Rain,92.55,EDMONTON INTL A,1.7,2017,,,2017,24.1,0.5,,,,13,Pluie,3012216,4,2017-04-13 19:00:00,7,
-113.57944444444445,53.31,11,20,,2017-04-14T03:00:00,,AB,93,14,,,,,3012216.2017.4.13.20,,4,Rain,92.59,EDMONTON INTL A,1.5,2017,,,2017,12.9,0.5,,,,13,Pluie,3012216,4,2017-04-13 20:00:00,6,
-113.57944444444445,53.31,10,21,,2017-04-14T04:00:00,,AB,93,14,,,,,3012216.2017.4.13.21,,4,"Rain,Snow",92.58,EDMONTON INTL A,1.4,2017,,,2017,8.1,0.4,,,,13,"Pluie,Neige",3012216,4,2017-04-13 21:00:00,6,
-113.57944444444445,53.31,12,22,,2017-04-14T05:00:00,,AB,94,14,,,,,3012216.2017.4.13.22,,4,"Rain,Snow",92.45,EDMONTON INTL A,1.2,2017,,,2017,12.9,0.3,,,,13,"Pluie,Neige",3012216,4,2017-04-13 22:00:00,3,
-113.57944444444445,53.31,16,23,,2017-04-14T06:00:00,,AB,95,14,,,,,3012216.2017.4.13.23,,4,Snow,92.33,EDMONTON INTL A,1.0,2017,,,2017,16.1,0.3,,,,13,Neige,3012216,4,2017-04-13 23:00:00,2,
-113.57944444444445,53.31,12,0,,2017-04-14T07:00:00,,AB,95,14,,,,,3012216.2017.4.14.0,,4,Snow,92.32,EDMONTON INTL A,0.9,2017,,,2017,19.3,0.2,,,,14,Neige,3012216,4,2017-04-14 00:00:00,3,
-113.57944444444445,53.31,10,1,,2017-04-14T08:00:00,,AB,95,14,,,,,3012216.2017.4.14.1,,4,Snow,92.31,EDMONTON INTL A,0.7,2017,,,2017,6.4,0.0,,,,14,Neige,3012216,4,2017-04-14 01:00:00,34,
-113.57944444444445,53.31,14,2,,2017-04-14T09:00:00,,AB,96,14,,,,,3012216.2017.4.14.2,,4,Snow,92.24,EDMONTON INTL A,0.1,2017,,,2017,4.8,-0.5,,,,14,Neige,3012216,4,2017-04-14 02:00:00,33,
-113.57944444444445,53.31,17,3,,2017-04-14T10:00:00,,AB,96,14,,,,,3012216.2017.4.14.3,,4,Snow,92.22,EDMONTON INTL A,0.1,2017,,,2017,4.8,-0.5,,,,14,Neige,3012216,4,2017-04-14 03:00:00,34,
-113.57944444444445,53.31,15,4,,2017-04-14T11:00:00,,AB,96,14,,-4,,,3012216.2017.4.14.4,,4,Snow,92.16,EDMONTON INTL A,0.0,2017,,,2017,4,-0.6,,,,14,Neige,3012216,4,2017-04-14 04:00:00,34,
-113.57944444444445,53.31,13,5,,2017-04-14T12:00:00,,AB,96,14,,-4,,,3012216.2017.4.14.5,,4,Snow,92.12,EDMONTON INTL A,0.0,2017,,,2017,2.4,-0.6,,,,14,Neige,3012216,4,2017-04-14 05:00:00,33,
-113.57944444444445,53.31,17,6,,2017-04-14T13:00:00,,AB,96,14,,-5,,,3012216.2017.4.14.6,,4,Snow,92.12,EDMONTON INTL A,0.0,2017,,,2017,2,-0.6,,,,14,Neige,3012216,4,2017-04-14 06:00:00,32,
-113.57944444444445,53.31,17,7,,2017-04-14T14:00:00,,AB,96,14,,-5,,,3012216.2017.4.14.7,,4,Snow,92.1,EDMONTON INTL A,0.0,2017,,,2017,1,-0.6,,,,14,Neige,3012216,4,2017-04-14 07:00:00,32,
-113.57944444444445,53.31,18,8,,2017-04-14T15:00:00,,AB,96,14,,-5,,,3012216.2017.4.14.8,,4,Snow,92.06,EDMONTON INTL A,0.0,2017,,,2017,1.2,-0.6,,,,14,Neige,3012216,4,2017-04-14 08:00:00,31,
-113.57944444444445,53.31,23,9,,2017-04-14T16:00:00,,AB,96,14,,,,,3012216.2017.4.14.9,,4,Snow,92.05,EDMONTON INTL A,0.2,2017,,,2017,1.2,-0.4,,,,14,Neige,3012216,4,2017-04-14 09:00:00,32,
-113.57944444444445,53.31,22,10,,2017-04-14T17:00:00,,AB,96,14,,,,,3012216.2017.4.14.10,,4,Snow,92.05,EDMONTON INTL A,0.2,2017,,,2017,1.2,-0.4,,,,14,Neige,3012216,4,2017-04-14 10:00:00,30,
-113.57944444444445,53.31,28,11,,2017-04-14T18:00:00,,AB,96,14,,,,,3012216.2017.4.14.11,,4,Snow,92.04,EDMONTON INTL A,0.4,2017,,,2017,2,-0.2,,,,14,Neige,3012216,4,2017-04-14 11:00:00,30,
-113.57944444444445,53.31,24,12,,2017-04-14T19:00:00,,AB,95,14,,,,,3012216.2017.4.14.12,,4,Snow,92.02,EDMONTON INTL A,0.6,2017,,,2017,2,-0.1,,,,14,Neige,3012216,4,2017-04-14 12:00:00,31,
-113.57944444444445,53.31,22,13,,2017-04-14T20:00:00,,AB,95,14,,,,,3012216.2017.4.14.13,,4,Snow,92.04,EDMONTON INTL A,0.6,2017,,,2017,1.6,-0.1,,,,14,Neige,3012216,4,2017-04-14 13:00:00,31,
-113.57944444444445,53.31,27,14,,2017-04-14T21:00:00,,AB,94,14,,,,,3012216.2017.4.14.14,,4,Snow,92.04,EDMONTON INTL A,0.6,2017,,,2017,2.4,-0.3,,,,14,Neige,3012216,4,2017-04-14 14:00:00,30,
-113.57944444444445,53.31,23,15,,2017-04-14T22:00:00,,AB,94,14,,,,,3012216.2017.4.14.15,,4,Snow,92.06,EDMONTON INTL A,0.6,2017,,,2017,2,-0.3,,,,14,Neige,3012216,4,2017-04-14 15:00:00,31,
-113.57944444444445,53.31,26,16,,2017-04-14T23:00:00,,AB,93,14,,,,,3012216.2017.4.14.16,,4,Snow,92.1,EDMONTON INTL A,0.6,2017,,,2017,2,-0.4,,,,14,Neige,3012216,4,2017-04-14 16:00:00,30,
-113.57944444444445,53.31,27,17,,2017-04-15T00:00:00,,AB,93,15,,,,,3012216.2017.4.14.17,,4,Snow,92.15,EDMONTON INTL A,0.4,2017,,,2017,2.4,-0.6,,,,14,Neige,3012216,4,2017-04-14 17:00:00,30,
-113.57944444444445,53.31,20,18,,2017-04-15T01:00:00,,AB,93,15,,,,,3012216.2017.4.14.18,,4,Snow,92.18,EDMONTON INTL A,0.3,2017,,,2017,2.4,-0.7,,,,14,Neige,3012216,4,2017-04-14 18:00:00,29,
-113.57944444444445,53.31,20,19,,2017-04-15T02:00:00,,AB,94,15,,,,,3012216.2017.4.14.19,,4,Snow,92.19,EDMONTON INTL A,0.2,2017,,,2017,2.4,-0.7,,,,14,Neige,3012216,4,2017-04-14 19:00:00,29,
-113.57944444444445,53.31,26,20,,2017-04-15T03:00:00,,AB,94,15,,,,,3012216.2017.4.14.20,,4,Snow,92.24,EDMONTON INTL A,0.1,2017,,,2017,6.4,-0.8,,,,14,Neige,3012216,4,2017-04-14 20:00:00,29,
-113.57944444444445,53.31,21,21,,2017-04-15T04:00:00,,AB,94,15,,-5,,,3012216.2017.4.14.21,,4,Snow,92.28,EDMONTON INTL A,0.0,2017,,,2017,4.8,-0.9,,,,14,Neige,3012216,4,2017-04-14 21:00:00,30,
-113.57944444444445,53.31,16,22,,2017-04-15T05:00:00,,AB,94,15,,-5,,,3012216.2017.4.14.22,,4,Snow,92.27,EDMONTON INTL A,-0.1,2017,,,2017,8.1,-1.0,,,,14,Neige,3012216,4,2017-04-14 22:00:00,29,
-113.57944444444445,53.31,21,23,,2017-04-15T06:00:00,,AB,94,15,,-6,,,3012216.2017.4.14.23,,4,Snow,92.27,EDMONTON INTL A,-0.6,2017,,,2017,3.2,-1.5,,,,14,Neige,3012216,4,2017-04-14 23:00:00,31,
-113.57944444444445,53.31,21,0,,2017-04-15T07:00:00,,AB,94,15,,-6,,,3012216.2017.4.15.0,,4,Snow,92.29,EDMONTON INTL A,-0.8,2017,,,2017,12.9,-1.7,,,,15,Neige,3012216,4,2017-04-15 00:00:00,30,
-113.57944444444445,53.31,17,1,,2017-04-15T08:00:00,,AB,94,15,,-6,,,3012216.2017.4.15.1,,4,Snow,92.31,EDMONTON INTL A,-1.0,2017,,,2017,24.1,-1.8,,,,15,Neige,3012216,4,2017-04-15 01:00:00,29,
-113.57944444444445,53.31,20,2,,2017-04-15T09:00:00,,AB,94,15,,-6,,,3012216.2017.4.15.2,,4,Snow,92.33,EDMONTON INTL A,-0.8,2017,,,2017,19.3,-1.7,,,,15,Neige,3012216,4,2017-04-15 02:00:00,29,
-113.57944444444445,53.31,16,3,,2017-04-15T10:00:00,,AB,94,15,,-7,,,3012216.2017.4.15.3,,4,Snow,92.35,EDMONTON INTL A,-1.7,2017,,,2017,16.1,-2.5,,,,15,Neige,3012216,4,2017-04-15 03:00:00,32,
-113.57944444444445,53.31,17,4,,2017-04-15T11:00:00,,AB,93,15,,-7,,,3012216.2017.4.15.4,,4,Snow,92.39,EDMONTON INTL A,-2.0,2017,,,2017,9.7,-3.0,,,,15,Neige,3012216,4,2017-04-15 04:00:00,34,
-113.57944444444445,53.31,17,5,,2017-04-15T12:00:00,,AB,93,15,,-8,,,3012216.2017.4.15.5,,4,Snow,92.45,EDMONTON INTL A,-2.8,2017,,,2017,8.1,-3.8,,,,15,Neige,3012216,4,2017-04-15 05:00:00,34,
-113.57944444444445,53.31,21,6,,2017-04-15T13:00:00,,AB,92,15,,-10,,,3012216.2017.4.15.6,,4,Snow,92.49,EDMONTON INTL A,-3.3,2017,,,2017,2.4,-4.4,,,,15,Neige,3012216,4,2017-04-15 06:00:00,34,
-113.57944444444445,53.31,25,7,,2017-04-15T14:00:00,,AB,91,15,,-10,,,3012216.2017.4.15.7,,4,Snow,92.57,EDMONTON INTL A,-3.3,2017,,,2017,3.2,-4.6,,,,15,Neige,3012216,4,2017-04-15 07:00:00,33,
-113.57944444444445,53.31,21,8,,2017-04-15T15:00:00,,AB,89,15,,-10,,,3012216.2017.4.15.8,,4,Snow,92.62,EDMONTON INTL A,-3.4,2017,,,2017,4.8,-5.0,,,,15,Neige,3012216,4,2017-04-15 08:00:00,33,
-113.57944444444445,53.31,26,9,,2017-04-15T16:00:00,,AB,89,15,,-11,,,3012216.2017.4.15.9,,4,Snow,92.67,EDMONTON INTL A,-3.5,2017,,,2017,2.4,-5.1,,,,15,Neige,3012216,4,2017-04-15 09:00:00,33,
-113.57944444444445,53.31,20,10,,2017-04-15T17:00:00,,AB,87,15,,-9,,,3012216.2017.4.15.10,,4,Snow,92.73,EDMONTON INTL A,-3.0,2017,,,2017,4,-4.9,,,,15,Neige,3012216,4,2017-04-15 10:00:00,33,
-113.57944444444445,53.31,21,11,,2017-04-15T18:00:00,,AB,83,15,,-9,,,3012216.2017.4.15.11,,4,Snow,92.77,EDMONTON INTL A,-2.6,2017,,,2017,4,-5.1,,,,15,Neige,3012216,4,2017-04-15 11:00:00,33,
-113.57944444444445,53.31,23,12,,2017-04-15T19:00:00,,AB,74,15,,-8,,,3012216.2017.4.15.12,,4,Snow,92.82,EDMONTON INTL A,-2.0,2017,,,2017,9.7,-6.0,,,,15,Neige,3012216,4,2017-04-15 12:00:00,34,
-113.57944444444445,53.31,26,13,,2017-04-15T20:00:00,,AB,72,15,,-8,,,3012216.2017.4.15.13,,4,Snow,92.86,EDMONTON INTL A,-1.9,2017,,,2017,19.3,-6.3,,,,15,Neige,3012216,4,2017-04-15 13:00:00,34,
-113.57944444444445,53.31,24,14,,2017-04-15T21:00:00,,AB,69,15,,-8,,,3012216.2017.4.15.14,,4,Cloudy,92.9,EDMONTON INTL A,-1.9,2017,,,2017,24.1,-6.9,,,,15,Nuageux,3012216,4,2017-04-15 14:00:00,35,
-113.57944444444445,53.31,25,15,,2017-04-15T22:00:00,,AB,72,15,,-9,,,3012216.2017.4.15.15,,4,Snow,92.96,EDMONTON INTL A,-2.3,2017,,,2017,19.3,-6.7,,,,15,Neige,3012216,4,2017-04-15 15:00:00,35,
-113.57944444444445,53.31,22,16,,2017-04-15T23:00:00,,AB,77,15,,-9,,,3012216.2017.4.15.16,,4,Snow,93.02,EDMONTON INTL A,-3.0,2017,,,2017,4.8,-6.5,,,,15,Neige,3012216,4,2017-04-15 16:00:00,35,
-113.57944444444445,53.31,22,17,,2017-04-16T00:00:00,,AB,81,16,,-10,,,3012216.2017.4.15.17,,4,Snow,93.11,EDMONTON INTL A,-3.3,2017,,,2017,6.4,-6.1,,,,15,Neige,3012216,4,2017-04-15 17:00:00,34,
-113.57944444444445,53.31,21,18,,2017-04-16T01:00:00,,AB,84,16,,-11,,,3012216.2017.4.15.18,,4,Snow,93.2,EDMONTON INTL A,-4.2,2017,,,2017,8.1,-6.5,,,,15,Neige,3012216,4,2017-04-15 18:00:00,34,
-113.57944444444445,53.31,19,19,,2017-04-16T02:00:00,,AB,86,16,,-10,,,3012216.2017.4.15.19,,4,Snow,93.3,EDMONTON INTL A,-4.3,2017,,,2017,12.9,-6.3,,,,15,Neige,3012216,4,2017-04-15 19:00:00,34,
-113.57944444444445,53.31,19,20,,2017-04-16T03:00:00,,AB,82,16,,-11,,,3012216.2017.4.15.20,,4,Snow,93.39,EDMONTON INTL A,-4.4,2017,,,2017,16.1,-7.0,,,,15,Neige,3012216,4,2017-04-15 20:00:00,34,
-113.57944444444445,53.31,19,21,,2017-04-16T04:00:00,,AB,83,16,,-11,,,3012216.2017.4.15.21,,4,Snow,93.45,EDMONTON INTL A,-4.8,2017,,,2017,24.1,-7.3,,,,15,Neige,3012216,4,2017-04-15 21:00:00,34,
-113.57944444444445,53.31,16,22,,2017-04-16T05:00:00,,AB,87,16,,-11,,,3012216.2017.4.15.22,,4,Snow,93.52,EDMONTON INTL A,-5.0,2017,,,2017,19.3,-6.8,,,,15,Neige,3012216,4,2017-04-15 22:00:00,33,
-113.57944444444445,53.31,10,23,,2017-04-16T06:00:00,,AB,87,16,,-9,,,3012216.2017.4.15.23,,4,Cloudy,93.55,EDMONTON INTL A,-4.9,2017,,,2017,24.1,-6.7,,,,15,Nuageux,3012216,4,2017-04-15 23:00:00,31,
-113.57944444444445,53.31,8,0,,2017-04-16T07:00:00,,AB,85,16,,-8,,,3012216.2017.4.16.0,,4,NA,93.59,EDMONTON INTL A,-4.7,2017,,,2017,24.1,-6.9,,,,16,ND,3012216,4,2017-04-16 00:00:00,30,
-113.57944444444445,53.31,4,1,,2017-04-16T08:00:00,,AB,85,16,,-7,,,3012216.2017.4.16.1,,4,NA,93.62,EDMONTON INTL A,-5.3,2017,,,2017,24.1,-7.4,,,,16,ND,3012216,4,2017-04-16 01:00:00,32,
-113.57944444444445,53.31,7,2,,2017-04-16T09:00:00,,AB,87,16,,-11,,,3012216.2017.4.16.2,,4,Mostly Cloudy,93.64,EDMONTON INTL A,-7.0,2017,,,2017,24.1,-8.8,,,,16,Généralement nuageux,3012216,4,2017-04-16 02:00:00,25,
-113.57944444444445,53.31,7,3,,2017-04-16T10:00:00,,AB,83,16,,-8,,,3012216.2017.4.16.3,,4,NA,93.66,EDMONTON INTL A,-5.2,2017,,,2017,24.1,-7.7,,,,16,ND,3012216,4,2017-04-16 03:00:00,29,
-113.57944444444445,53.31,7,4,,2017-04-16T11:00:00,,AB,81,16,,-9,,,3012216.2017.4.16.4,,4,NA,93.68,EDMONTON INTL A,-5.5,2017,,,2017,24.1,-8.3,,,,16,ND,3012216,4,2017-04-16 04:00:00,30,
-113.57944444444445,53.31,7,5,,2017-04-16T12:00:00,,AB,83,16,,-10,,,3012216.2017.4.16.5,,4,Mostly Cloudy,93.7,EDMONTON INTL A,-6.8,2017,,,2017,24.1,-9.2,,,,16,Généralement nuageux,3012216,4,2017-04-16 05:00:00,26,
-113.57944444444445,53.31,7,6,,2017-04-16T13:00:00,,AB,88,16,,-14,,,3012216.2017.4.16.6,,4,NA,93.71,EDMONTON INTL A,-9.6,2017,,,2017,24.1,-11.2,,,,16,ND,3012216,4,2017-04-16 06:00:00,20,
-113.57944444444445,53.31,10,7,,2017-04-16T14:00:00,,AB,89,16,,-13,,,3012216.2017.4.16.7,,4,NA,93.7,EDMONTON INTL A,-8.1,2017,,,2017,24.1,-9.6,,,,16,ND,3012216,4,2017-04-16 07:00:00,15,
-113.57944444444445,53.31,5,8,,2017-04-16T15:00:00,,AB,80,16,,-8,,,3012216.2017.4.16.8,,4,Mostly Cloudy,93.73,EDMONTON INTL A,-5.5,2017,,,2017,24.1,-8.4,,,,16,Généralement nuageux,3012216,4,2017-04-16 08:00:00,17,
-113.57944444444445,53.31,11,9,,2017-04-16T16:00:00,,AB,74,16,,-8,,,3012216.2017.4.16.9,,4,NA,93.74,EDMONTON INTL A,-3.6,2017,,,2017,24.1,-7.6,,,,16,ND,3012216,4,2017-04-16 09:00:00,19,
-113.57944444444445,53.31,15,10,,2017-04-16T17:00:00,,AB,70,16,,-7,,,3012216.2017.4.16.10,,4,NA,93.73,EDMONTON INTL A,-2.3,2017,,,2017,24.1,-7.1,,,,16,ND,3012216,4,2017-04-16 10:00:00,17,
-113.57944444444445,53.31,25,11,,2017-04-16T18:00:00,,AB,67,16,,-8,,,3012216.2017.4.16.11,,4,Mostly Cloudy,93.71,EDMONTON INTL A,-1.4,2017,,,2017,24.1,-6.8,,,,16,Généralement nuageux,3012216,4,2017-04-16 11:00:00,18,
-113.57944444444445,53.31,22,12,,2017-04-16T19:00:00,,AB,66,16,,-6,,,3012216.2017.4.16.12,,4,NA,93.7,EDMONTON INTL A,-0.6,2017,,,2017,24.1,-6.2,,,,16,ND,3012216,4,2017-04-16 12:00:00,17,
-113.57944444444445,53.31,21,13,,2017-04-16T20:00:00,,AB,64,16,,,,,3012216.2017.4.16.13,,4,NA,93.63,EDMONTON INTL A,0.4,2017,,,2017,24.1,-5.6,,,,16,ND,3012216,4,2017-04-16 13:00:00,16,
-113.57944444444445,53.31,21,14,,2017-04-16T21:00:00,,AB,65,16,,,,,3012216.2017.4.16.14,,4,Mostly Cloudy,93.61,EDMONTON INTL A,1.1,2017,,,2017,24.1,-4.8,,,,16,Généralement nuageux,3012216,4,2017-04-16 14:00:00,14,
-113.57944444444445,53.31,25,15,,2017-04-16T22:00:00,,AB,64,16,,,,,3012216.2017.4.16.15,,4,NA,93.56,EDMONTON INTL A,1.8,2017,,,2017,24.1,-4.3,,,,16,ND,3012216,4,2017-04-16 15:00:00,15,
-113.57944444444445,53.31,26,16,,2017-04-16T23:00:00,,AB,66,16,,,,,3012216.2017.4.16.16,,4,NA,93.48,EDMONTON INTL A,2.1,2017,,,2017,24.1,-3.6,,,,16,ND,3012216,4,2017-04-16 16:00:00,13,
-113.57944444444445,53.31,23,17,,2017-04-17T00:00:00,,AB,67,17,,,,,3012216.2017.4.16.17,,4,Clear,93.43,EDMONTON INTL A,2.2,2017,,,2017,24.1,-3.3,,,,16,Dégagé,3012216,4,2017-04-16 17:00:00,13,
-113.57944444444445,53.31,20,18,,2017-04-17T01:00:00,,AB,71,17,,,,,3012216.2017.4.16.18,,4,NA,93.39,EDMONTON INTL A,1.8,2017,,,2017,24.1,-2.9,,,,16,ND,3012216,4,2017-04-16 18:00:00,14,
-113.57944444444445,53.31,14,19,,2017-04-17T02:00:00,,AB,74,17,,,,,3012216.2017.4.16.19,,4,NA,93.32,EDMONTON INTL A,1.0,2017,,,2017,24.1,-3.1,,,,16,ND,3012216,4,2017-04-16 19:00:00,14,
-113.57944444444445,53.31,21,20,,2017-04-17T03:00:00,,AB,78,17,,,,,3012216.2017.4.16.20,,4,Mainly Clear,93.27,EDMONTON INTL A,0.5,2017,,,2017,24.1,-2.9,,,,16,Généralement dégagé,3012216,4,2017-04-16 20:00:00,13,
-113.57944444444445,53.31,22,21,,2017-04-17T04:00:00,,AB,77,17,,,,,3012216.2017.4.16.21,,4,NA,93.23,EDMONTON INTL A,0.6,2017,,,2017,24.1,-3.0,,,,16,ND,3012216,4,2017-04-16 21:00:00,14,
-113.57944444444445,53.31,19,22,,2017-04-17T05:00:00,,AB,76,17,,,,,3012216.2017.4.16.22,,4,NA,93.18,EDMONTON INTL A,0.2,2017,,,2017,24.1,-3.5,,,,16,ND,3012216,4,2017-04-16 22:00:00,14,
-113.57944444444445,53.31,17,23,,2017-04-17T06:00:00,,AB,78,17,,-6,,,3012216.2017.4.16.23,,4,Mostly Cloudy,93.13,EDMONTON INTL A,-0.8,2017,,,2017,24.1,-4.2,,,,16,Généralement nuageux,3012216,4,2017-04-16 23:00:00,14,
-113.57944444444445,53.31,20,0,,2017-04-17T07:00:00,,AB,72,17,,-6,,,3012216.2017.4.17.0,,4,NA,93.08,EDMONTON INTL A,-0.3,2017,,,2017,24.1,-4.8,,,,17,ND,3012216,4,2017-04-17 00:00:00,14,
-113.57944444444445,53.31,14,1,,2017-04-17T08:00:00,,AB,72,17,,-6,,,3012216.2017.4.17.1,,4,NA,93.03,EDMONTON INTL A,-1.4,2017,,,2017,24.1,-5.8,,,,17,ND,3012216,4,2017-04-17 01:00:00,13,
-113.57944444444445,53.31,14,2,,2017-04-17T09:00:00,,AB,75,17,,-7,,,3012216.2017.4.17.2,,4,Mostly Cloudy,92.97,EDMONTON INTL A,-2.6,2017,,,2017,24.1,-6.4,,,,17,Généralement nuageux,3012216,4,2017-04-17 02:00:00,13,
-113.57944444444445,53.31,15,3,,2017-04-17T10:00:00,,AB,75,17,,-7,,,3012216.2017.4.17.3,,4,NA,92.91,EDMONTON INTL A,-2.2,2017,,,2017,24.1,-6.1,,,,17,ND,3012216,4,2017-04-17 03:00:00,13,
-113.57944444444445,53.31,19,4,,2017-04-17T11:00:00,,AB,72,17,,-7,,,3012216.2017.4.17.4,,4,NA,92.85,EDMONTON INTL A,-1.5,2017,,,2017,24.1,-5.9,,,,17,ND,3012216,4,2017-04-17 04:00:00,13,
-113.57944444444445,53.31,16,5,,2017-04-17T12:00:00,,AB,75,17,,-6,,,3012216.2017.4.17.5,,4,Cloudy,92.8,EDMONTON INTL A,-1.5,2017,,,2017,24.1,-5.4,,,,17,Nuageux,3012216,4,2017-04-17 05:00:00,13,
-113.57944444444445,53.31,24,6,,2017-04-17T13:00:00,,AB,76,17,,-7,,,3012216.2017.4.17.6,,4,NA,92.74,EDMONTON INTL A,-1.2,2017,,,2017,24.1,-4.9,,,,17,ND,3012216,4,2017-04-17 06:00:00,12,
-113.57944444444445,53.31,26,7,,2017-04-17T14:00:00,,AB,76,17,,-7,,,3012216.2017.4.17.7,,4,NA,92.72,EDMONTON INTL A,-1.0,2017,,,2017,24.1,-4.7,,,,17,ND,3012216,4,2017-04-17 07:00:00,12,
-113.57944444444445,53.31,20,8,,2017-04-17T15:00:00,,AB,76,17,,-6,,,3012216.2017.4.17.8,,4,Mostly Cloudy,92.77,EDMONTON INTL A,-0.5,2017,,,2017,24.1,-4.2,,,,17,Généralement nuageux,3012216,4,2017-04-17 08:00:00,13,
-113.57944444444445,53.31,18,9,,2017-04-17T16:00:00,,AB,74,17,,,,,3012216.2017.4.17.9,,4,NA,92.74,EDMONTON INTL A,0.4,2017,,,2017,24.1,-3.7,,,,17,ND,3012216,4,2017-04-17 09:00:00,12,
-113.57944444444445,53.31,26,10,,2017-04-17T17:00:00,,AB,71,17,,,,,3012216.2017.4.17.10,,4,NA,92.75,EDMONTON INTL A,0.8,2017,,,2017,24.1,-3.9,,,,17,ND,3012216,4,2017-04-17 10:00:00,12,
-113.57944444444445,53.31,20,11,,2017-04-17T18:00:00,,AB,68,17,,,,,3012216.2017.4.17.11,,4,Cloudy,92.75,EDMONTON INTL A,1.6,2017,,,2017,24.1,-3.7,,,,17,Nuageux,3012216,4,2017-04-17 11:00:00,13,
-113.57944444444445,53.31,13,12,,2017-04-17T19:00:00,,AB,65,17,,,,,3012216.2017.4.17.12,,4,NA,92.73,EDMONTON INTL A,2.5,2017,,,2017,24.1,-3.4,,,,17,ND,3012216,4,2017-04-17 12:00:00,10,
-113.57944444444445,53.31,17,13,,2017-04-17T20:00:00,,AB,64,17,,,,,3012216.2017.4.17.13,,4,NA,92.72,EDMONTON INTL A,3.1,2017,,,2017,24.1,-3.1,,,,17,ND,3012216,4,2017-04-17 13:00:00,10,
-113.57944444444445,53.31,14,14,,2017-04-17T21:00:00,,AB,62,17,,,,,3012216.2017.4.17.14,,4,Cloudy,92.73,EDMONTON INTL A,3.6,2017,,,2017,24.1,-3.0,,,,17,Nuageux,3012216,4,2017-04-17 14:00:00,11,
-113.57944444444445,53.31,16,15,,2017-04-17T22:00:00,,AB,60,17,,,,,3012216.2017.4.17.15,,4,NA,92.77,EDMONTON INTL A,4.0,2017,,,2017,24.1,-3.1,,,,17,ND,3012216,4,2017-04-17 15:00:00,11,
-113.57944444444445,53.31,14,16,,2017-04-17T23:00:00,,AB,65,17,,,,,3012216.2017.4.17.16,,4,Snow,92.8,EDMONTON INTL A,3.3,2017,,,2017,24.1,-2.7,,,,17,Neige,3012216,4,2017-04-17 16:00:00,11,
-113.57944444444445,53.31,20,17,,2017-04-18T00:00:00,,AB,61,18,,,,,3012216.2017.4.17.17,,4,Snow,92.82,EDMONTON INTL A,3.6,2017,,,2017,24.1,-3.2,,,,17,Neige,3012216,4,2017-04-17 17:00:00,9,
-113.57944444444445,53.31,12,18,,2017-04-18T01:00:00,,AB,71,18,,,,,3012216.2017.4.17.18,,4,NA,92.86,EDMONTON INTL A,2.2,2017,,,2017,24.1,-2.5,,,,17,ND,3012216,4,2017-04-17 18:00:00,11,
-113.57944444444445,53.31,15,19,,2017-04-18T02:00:00,,AB,67,18,,,,,3012216.2017.4.17.19,,4,NA,92.9,EDMONTON INTL A,1.9,2017,,,2017,24.1,-3.6,,,,17,ND,3012216,4,2017-04-17 19:00:00,6,
-113.57944444444445,53.31,19,20,,2017-04-18T03:00:00,,AB,66,18,,,,,3012216.2017.4.17.20,,4,Cloudy,92.9,EDMONTON INTL A,1.3,2017,,,2017,24.1,-4.4,,,,17,Nuageux,3012216,4,2017-04-17 20:00:00,7,
-113.57944444444445,53.31,17,21,,2017-04-18T04:00:00,,AB,59,18,,,,,3012216.2017.4.17.21,,4,NA,92.96,EDMONTON INTL A,0.9,2017,,,2017,24.1,-6.2,,,,17,ND,3012216,4,2017-04-17 21:00:00,7,
-113.57944444444445,53.31,18,22,,2017-04-18T05:00:00,,AB,57,18,,,,,3012216.2017.4.17.22,,4,NA,92.97,EDMONTON INTL A,0.6,2017,,,2017,24.1,-7.0,,,,17,ND,3012216,4,2017-04-17 22:00:00,7,
-113.57944444444445,53.31,12,23,,2017-04-18T06:00:00,,AB,75,18,,-4,,,3012216.2017.4.17.23,,4,Mostly Cloudy,92.95,EDMONTON INTL A,-0.3,2017,,,2017,24.1,-4.2,,,,17,Généralement nuageux,3012216,4,2017-04-17 23:00:00,7,
